"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Dove 2k-23 (0 Flock 2K-23 0F4B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AL,42859,,
Dove 2k-24 (0 Flock 2K-24 0F4F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AJ,42857,,
Dove 2k-25 (0 Flock 2K-25 0F4D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BM,42884,,
Dove 2k-26 (0 Flock 2K-26 0F53),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BL,42883,,
Dove 2k-27 (0 Flock 2K-27 0F54),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BK,42882,,
Dove 2k-28 (0 Flock 2K-28 1047),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BH,42880,,
Dove 2k-29  (0 Flock 2K-29 1048),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AY,42871,,
Dove 2k-3 (0 Flock 2K-3 0F21),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,476,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz  2.1a,2017-042AB,42850,,
Dove 2k-30 (0 Flock 2K-30 1049),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AZ,42872,,
Dove 2k-31 (0 Flock 2K-31 104A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,1.10E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AW,42869,,
Dove 2k-32 (0 Flock 2K-32  104B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,1.24E-03,97,94,4,,,07/14/17,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AX,42870,,
